phase_id,list_id,task,stim_id,task_id,order
1,1,interest,5,IN005,1
1,1,interest,21,IN021,2
1,1,interest,9,IN009,3
1,1,interest,20,IN020,4
1,1,interest,74,IN074,5
1,1,interest,68,IN068,6
1,1,interest,89,IN089,7
1,1,interest,83,IN083,8
1,1,interest,96,IN096,9
1,1,interest,86,IN086,10
1,1,interest,81,IN081,11
1,1,interest,8,IN008,12
1,1,interest,72,IN072,13
1,1,interest,77,IN077,14
1,1,interest,31,IN031,15
1,1,interest,87,IN087,16
1,1,interest,10,IN010,17
1,1,interest,29,IN029,18
1,1,interest,7,IN007,19
1,1,interest,84,IN084,20
1,1,interest,79,IN079,21
1,1,interest,69,IN069,22
1,1,interest,19,IN019,23
1,1,interest,67,IN067,24
1,1,interest,2,IN002,25
1,1,interest,16,IN016,26
1,1,interest,70,IN070,27
1,1,interest,82,IN082,28
1,1,interest,76,IN076,29
1,1,interest,11,IN011,30
1,1,interest,4,IN004,31
1,1,interest,30,IN030,32
1,1,interest,91,IN091,33
1,1,interest,23,IN023,34
1,1,interest,12,IN012,35
1,1,interest,26,IN026,36
1,1,interest,75,IN075,37
1,1,interest,27,IN027,38
1,1,interest,32,IN032,39
1,1,interest,90,IN090,40
1,1,interest,22,IN022,41
1,1,interest,14,IN014,42
1,1,interest,15,IN015,43
1,1,interest,25,IN025,44
1,1,interest,80,IN080,45
1,1,interest,6,IN006,46
1,1,interest,65,IN065,47
1,1,interest,28,IN028,48
1,1,interest,95,IN095,49
1,1,interest,88,IN088,50
1,1,interest,18,IN018,51
1,1,interest,66,IN066,52
1,1,interest,1,IN001,53
1,1,interest,78,IN078,54
1,1,interest,93,IN093,55
1,1,interest,24,IN024,56
1,1,interest,3,IN003,57
1,1,interest,92,IN092,58
1,1,interest,13,IN013,59
1,1,interest,17,IN017,60
1,1,interest,71,IN071,61
1,1,interest,94,IN094,62
1,1,interest,73,IN073,63
1,1,interest,85,IN085,64
1,1,truth,98,TR098,1
1,1,truth,66,TR066,2
1,1,truth,100,TR100,3
1,1,truth,6,TR006,4
1,1,truth,37,TR037,5
1,1,truth,33,TR033,6
1,1,truth,67,TR067,7
1,1,truth,102,TR102,8
1,1,truth,1,TR001,9
1,1,truth,8,TR008,10
1,1,truth,38,TR038,11
1,1,truth,70,TR070,12
1,1,truth,2,TR002,13
1,1,truth,39,TR039,14
1,1,truth,65,TR065,15
1,1,truth,97,TR097,16
1,1,truth,68,TR068,17
1,1,truth,3,TR003,18
1,1,truth,101,TR101,19
1,1,truth,40,TR040,20
1,1,truth,72,TR072,21
1,1,truth,99,TR099,22
1,1,truth,4,TR004,23
1,1,truth,7,TR007,24
1,1,truth,34,TR034,25
1,1,truth,69,TR069,26
1,1,truth,35,TR035,27
1,1,truth,103,TR103,28
1,1,truth,36,TR036,29
1,1,truth,71,TR071,30
1,1,truth,104,TR104,31
1,1,truth,5,TR005,32
2,1,truth,9,TR009,1
2,1,truth,10,TR010,2
2,1,truth,78,TR078,3
2,1,truth,15,TR015,4
2,1,truth,11,TR011,5
2,1,truth,107,TR107,6
2,1,truth,46,TR046,7
2,1,truth,45,TR045,8
2,1,truth,14,TR014,9
2,1,truth,112,TR112,10
2,1,truth,105,TR105,11
2,1,truth,42,TR042,12
2,1,truth,77,TR077,13
2,1,truth,12,TR012,14
2,1,truth,73,TR073,15
2,1,truth,108,TR108,16
2,1,truth,79,TR079,17
2,1,truth,106,TR106,18
2,1,truth,44,TR044,19
2,1,truth,80,TR080,20
2,1,truth,16,TR016,21
2,1,truth,41,TR041,22
2,1,truth,76,TR076,23
2,1,truth,111,TR111,24
2,1,truth,74,TR074,25
2,1,truth,13,TR013,26
2,1,truth,47,TR047,27
2,1,truth,48,TR048,28
2,1,truth,109,TR109,29
2,1,truth,75,TR075,30
2,1,truth,43,TR043,31
2,1,truth,110,TR110,32
3,1,truth,118,TR118,1
3,1,truth,116,TR116,2
3,1,truth,55,TR055,3
3,1,truth,54,TR054,4
3,1,truth,84,TR084,5
3,1,truth,115,TR115,6
3,1,truth,23,TR023,7
3,1,truth,114,TR114,8
3,1,truth,18,TR018,9
3,1,truth,87,TR087,10
3,1,truth,22,TR022,11
3,1,truth,56,TR056,12
3,1,truth,83,TR083,13
3,1,truth,53,TR053,14
3,1,truth,51,TR051,15
3,1,truth,17,TR017,16
3,1,truth,82,TR082,17
3,1,truth,24,TR024,18
3,1,truth,20,TR020,19
3,1,truth,88,TR088,20
3,1,truth,117,TR117,21
3,1,truth,49,TR049,22
3,1,truth,50,TR050,23
3,1,truth,52,TR052,24
3,1,truth,19,TR019,25
3,1,truth,85,TR085,26
3,1,truth,113,TR113,27
3,1,truth,81,TR081,28
3,1,truth,86,TR086,29
3,1,truth,119,TR119,30
3,1,truth,21,TR021,31
3,1,truth,120,TR120,32
4,1,truth,95,TR095,1
4,1,truth,62,TR062,2
4,1,truth,91,TR091,3
4,1,truth,127,TR127,4
4,1,truth,28,TR028,5
4,1,truth,60,TR060,6
4,1,truth,58,TR058,7
4,1,truth,59,TR059,8
4,1,truth,27,TR027,9
4,1,truth,92,TR092,10
4,1,truth,31,TR031,11
4,1,truth,30,TR030,12
4,1,truth,121,TR121,13
4,1,truth,29,TR029,14
4,1,truth,124,TR124,15
4,1,truth,126,TR126,16
4,1,truth,64,TR064,17
4,1,truth,89,TR089,18
4,1,truth,93,TR093,19
4,1,truth,90,TR090,20
4,1,truth,61,TR061,21
4,1,truth,122,TR122,22
4,1,truth,94,TR094,23
4,1,truth,96,TR096,24
4,1,truth,32,TR032,25
4,1,truth,125,TR125,26
4,1,truth,25,TR025,27
4,1,truth,26,TR026,28
4,1,truth,128,TR128,29
4,1,truth,123,TR123,30
4,1,truth,57,TR057,31
4,1,truth,63,TR063,32
1,2,interest,72,IN072,1
1,2,interest,87,IN087,2
1,2,interest,82,IN082,3
1,2,interest,57,IN057,4
1,2,interest,83,IN083,5
1,2,interest,60,IN060,6
1,2,interest,84,IN084,7
1,2,interest,9,IN009,8
1,2,interest,79,IN079,9
1,2,interest,77,IN077,10
1,2,interest,62,IN062,11
1,2,interest,3,IN003,12
1,2,interest,67,IN067,13
1,2,interest,5,IN005,14
1,2,interest,1,IN001,15
1,2,interest,7,IN007,16
1,2,interest,19,IN019,17
1,2,interest,59,IN059,18
1,2,interest,58,IN058,19
1,2,interest,86,IN086,20
1,2,interest,78,IN078,21
1,2,interest,80,IN080,22
1,2,interest,63,IN063,23
1,2,interest,15,IN015,24
1,2,interest,18,IN018,25
1,2,interest,4,IN004,26
1,2,interest,121,IN121,27
1,2,interest,123,IN123,28
1,2,interest,10,IN010,29
1,2,interest,88,IN088,30
1,2,interest,128,IN128,31
1,2,interest,65,IN065,32
1,2,interest,70,IN070,33
1,2,interest,2,IN002,34
1,2,interest,12,IN012,35
1,2,interest,68,IN068,36
1,2,interest,17,IN017,37
1,2,interest,73,IN073,38
1,2,interest,125,IN125,39
1,2,interest,85,IN085,40
1,2,interest,6,IN006,41
1,2,interest,24,IN024,42
1,2,interest,14,IN014,43
1,2,interest,66,IN066,44
1,2,interest,81,IN081,45
1,2,interest,22,IN022,46
1,2,interest,16,IN016,47
1,2,interest,76,IN076,48
1,2,interest,21,IN021,49
1,2,interest,11,IN011,50
1,2,interest,127,IN127,51
1,2,interest,13,IN013,52
1,2,interest,23,IN023,53
1,2,interest,75,IN075,54
1,2,interest,74,IN074,55
1,2,interest,61,IN061,56
1,2,interest,69,IN069,57
1,2,interest,71,IN071,58
1,2,interest,126,IN126,59
1,2,interest,20,IN020,60
1,2,interest,8,IN008,61
1,2,interest,64,IN064,62
1,2,interest,122,IN122,63
1,2,interest,124,IN124,64
1,2,truth,31,TR031,1
1,2,truth,96,TR096,2
1,2,truth,61,TR061,3
1,2,truth,32,TR032,4
1,2,truth,28,TR028,5
1,2,truth,62,TR062,6
1,2,truth,91,TR091,7
1,2,truth,64,TR064,8
1,2,truth,124,TR124,9
1,2,truth,93,TR093,10
1,2,truth,29,TR029,11
1,2,truth,89,TR089,12
1,2,truth,26,TR026,13
1,2,truth,63,TR063,14
1,2,truth,57,TR057,15
1,2,truth,92,TR092,16
1,2,truth,25,TR025,17
1,2,truth,30,TR030,18
1,2,truth,60,TR060,19
1,2,truth,128,TR128,20
1,2,truth,127,TR127,21
1,2,truth,59,TR059,22
1,2,truth,125,TR125,23
1,2,truth,94,TR094,24
1,2,truth,126,TR126,25
1,2,truth,90,TR090,26
1,2,truth,58,TR058,27
1,2,truth,121,TR121,28
1,2,truth,95,TR095,29
1,2,truth,122,TR122,30
1,2,truth,27,TR027,31
1,2,truth,123,TR123,32
2,2,truth,40,TR040,1
2,2,truth,71,TR071,2
2,2,truth,36,TR036,3
2,2,truth,7,TR007,4
2,2,truth,8,TR008,5
2,2,truth,68,TR068,6
2,2,truth,103,TR103,7
2,2,truth,101,TR101,8
2,2,truth,2,TR002,9
2,2,truth,4,TR004,10
2,2,truth,1,TR001,11
2,2,truth,99,TR099,12
2,2,truth,33,TR033,13
2,2,truth,6,TR006,14
2,2,truth,3,TR003,15
2,2,truth,98,TR098,16
2,2,truth,38,TR038,17
2,2,truth,37,TR037,18
2,2,truth,35,TR035,19
2,2,truth,65,TR065,20
2,2,truth,104,TR104,21
2,2,truth,102,TR102,22
2,2,truth,66,TR066,23
2,2,truth,34,TR034,24
2,2,truth,72,TR072,25
2,2,truth,100,TR100,26
2,2,truth,67,TR067,27
2,2,truth,39,TR039,28
2,2,truth,69,TR069,29
2,2,truth,70,TR070,30
2,2,truth,5,TR005,31
2,2,truth,97,TR097,32
3,2,truth,75,TR075,1
3,2,truth,112,TR112,2
3,2,truth,43,TR043,3
3,2,truth,80,TR080,4
3,2,truth,74,TR074,5
3,2,truth,12,TR012,6
3,2,truth,106,TR106,7
3,2,truth,10,TR010,8
3,2,truth,110,TR110,9
3,2,truth,13,TR013,10
3,2,truth,78,TR078,11
3,2,truth,77,TR077,12
3,2,truth,76,TR076,13
3,2,truth,45,TR045,14
3,2,truth,14,TR014,15
3,2,truth,9,TR009,16
3,2,truth,41,TR041,17
3,2,truth,47,TR047,18
3,2,truth,73,TR073,19
3,2,truth,108,TR108,20
3,2,truth,79,TR079,21
3,2,truth,109,TR109,22
3,2,truth,16,TR016,23
3,2,truth,107,TR107,24
3,2,truth,11,TR011,25
3,2,truth,48,TR048,26
3,2,truth,44,TR044,27
3,2,truth,15,TR015,28
3,2,truth,105,TR105,29
3,2,truth,46,TR046,30
3,2,truth,42,TR042,31
3,2,truth,111,TR111,32
4,2,truth,53,TR053,1
4,2,truth,86,TR086,2
4,2,truth,56,TR056,3
4,2,truth,81,TR081,4
4,2,truth,113,TR113,5
4,2,truth,82,TR082,6
4,2,truth,50,TR050,7
4,2,truth,85,TR085,8
4,2,truth,51,TR051,9
4,2,truth,84,TR084,10
4,2,truth,55,TR055,11
